alpha,beta,altitude,Mach,q,v_tas,alpha-res,CL,CD,CY,Cl,Cm,Cn,L,Y,D,l_b,m_b,n_b
-6,0,0,0,0,0,-6,-0.24529,0.01432,0,0,1.32929,0,0,0,0,0,0,0
-4,0,0,0,0,0,-4,-0.01346,0.01588,0,0,0.30005,0,0,0,0,0,0,0
-2,0,0,0,0,0,-2,0.21835,0.01942,0,0,-0.73513,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.44963,0.02494,0,0,-1.7712,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0.67991,0.03238,0,0,-2.80311,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0.9087,0.04167,0,0,-3.82584,0,0,0,0,0,0,0
6,0,0,0,0,0,6,1.13552,0.05274,0,0,-4.83441,0,0,0,0,0,0,0
8,0,0,0,0,0,8,1.35992,0.06546,0,0,-5.82389,0,0,0,0,0,0,0
10,0,0,0,0,0,10,1.58146,0.0797,0,0,-6.78948,0,0,0,0,0,0,0
-6,0,500,0,0,0,-6,-0.24529,0.01432,0,0,1.32929,0,0,0,0,0,0,0
-4,0,500,0,0,0,-4,-0.01346,0.01588,0,0,0.30005,0,0,0,0,0,0,0
-2,0,500,0,0,0,-2,0.21835,0.01942,0,0,-0.73513,0,0,0,0,0,0,0
0,0,500,0,0,0,0,0.44963,0.02494,0,0,-1.7712,0,0,0,0,0,0,0
2,0,500,0,0,0,2,0.67991,0.03238,0,0,-2.80311,0,0,0,0,0,0,0
4,0,500,0,0,0,4,0.9087,0.04167,0,0,-3.82584,0,0,0,0,0,0,0
6,0,500,0,0,0,6,1.13552,0.05274,0,0,-4.83441,0,0,0,0,0,0,0
8,0,500,0,0,0,8,1.35992,0.06546,0,0,-5.82389,0,0,0,0,0,0,0
10,0,500,0,0,0,10,1.58146,0.0797,0,0,-6.78948,0,0,0,0,0,0,0
-6,0,1000,0,0,0,-6,-0.24529,0.01432,0,0,1.32929,0,0,0,0,0,0,0
-4,0,1000,0,0,0,-4,-0.01346,0.01588,0,0,0.30005,0,0,0,0,0,0,0
-2,0,1000,0,0,0,-2,0.21835,0.01942,0,0,-0.73513,0,0,0,0,0,0,0
0,0,1000,0,0,0,0,0.44963,0.02494,0,0,-1.7712,0,0,0,0,0,0,0
2,0,1000,0,0,0,2,0.67991,0.03238,0,0,-2.80311,0,0,0,0,0,0,0
4,0,1000,0,0,0,4,0.9087,0.04167,0,0,-3.82584,0,0,0,0,0,0,0
6,0,1000,0,0,0,6,1.13552,0.05274,0,0,-4.83441,0,0,0,0,0,0,0
8,0,1000,0,0,0,8,1.35992,0.06546,0,0,-5.82389,0,0,0,0,0,0,0
10,0,1000,0,0,0,10,1.58146,0.0797,0,0,-6.78948,0,0,0,0,0,0,0
-6,0,1500,0,0,0,-6,-0.24529,0.01432,0,0,1.32929,0,0,0,0,0,0,0
-4,0,1500,0,0,0,-4,-0.01346,0.01588,0,0,0.30005,0,0,0,0,0,0,0
-2,0,1500,0,0,0,-2,0.21835,0.01942,0,0,-0.73513,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0.44963,0.02494,0,0,-1.7712,0,0,0,0,0,0,0
2,0,1500,0,0,0,2,0.67991,0.03238,0,0,-2.80311,0,0,0,0,0,0,0
4,0,1500,0,0,0,4,0.9087,0.04167,0,0,-3.82584,0,0,0,0,0,0,0
6,0,1500,0,0,0,6,1.13552,0.05274,0,0,-4.83441,0,0,0,0,0,0,0
8,0,1500,0,0,0,8,1.35992,0.06546,0,0,-5.82389,0,0,0,0,0,0,0
10,0,1500,0,0,0,10,1.58146,0.0797,0,0,-6.78948,0,0,0,0,0,0,0
