alpha,beta,altitude,Mach,q,v_tas,alpha-res,CL,CD,CY,Cl,Cm,Cn,L,Y,D,l_b,m_b,n_b
-10,0,0,0,0,0,-10,-0.67896,0.01723,0,0,2.93177,0,0,0,0,0,0,0
-9,0,0,0,0,0,-9,-0.5675,0.01564,0,0,2.48988,0,0,0,0,0,0,0
-8,0,0,0,0,0,-8,-0.45574,0.01457,0,0,2.04397,0,0,0,0,0,0,0
-7,0,0,0,0,0,-7,-0.34375,0.01403,0,0,1.59459,0,0,0,0,0,0,0
-6,0,0,0,0,0,-6,-0.23159,0.01402,0,0,1.14229,0,0,0,0,0,0,0
-5,0,0,0,0,0,-5,-0.11931,0.01454,0,0,0.68763,0,0,0,0,0,0,0
-4,0,0,0,0,0,-4,-0.00698,0.0156,0,0,0.23114,0,0,0,0,0,0,0
-3,0,0,0,0,0,-3,0.10534,0.0172,0,0,-0.2266,0,0,0,0,0,0,0
-2,0,0,0,0,0,-2,0.21758,0.01933,0,0,-0.68504,0,0,0,0,0,0,0
-1,0,0,0,0,0,-1,0.32968,0.02199,0,0,-1.14363,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.44159,0.02517,0,0,-1.6018,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0.55323,0.02888,0,0,-2.059,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0.66456,0.03309,0,0,-2.51466,0,0,0,0,0,0,0
3,0,0,0,0,0,3,0.7755,0.0378,0,0,-2.96824,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0.886,0.043,0,0,-3.41919,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0.99599,0.04868,0,0,-3.86694,0,0,0,0,0,0,0
6,0,0,0,0,0,6,1.10543,0.05481,0,0,-4.31096,0,0,0,0,0,0,0
7,0,0,0,0,0,7,1.21425,0.06139,0,0,-4.75071,0,0,0,0,0,0,0
8,0,0,0,0,0,8,1.3224,0.0684,0,0,-5.18564,0,0,0,0,0,0,0
9,0,0,0,0,0,9,1.42981,0.07581,0,0,-5.61524,0,0,0,0,0,0,0
10,0,0,0,0,0,10,1.53644,0.08362,0,0,-6.03897,0,0,0,0,0,0,0
11,0,0,0,0,0,11,1.64223,0.09179,0,0,-6.45632,0,0,0,0,0,0,0
12,0,0,0,0,0,12,1.74713,0.10031,0,0,-6.86679,0,0,0,0,0,0,0
13,0,0,0,0,0,13,1.85109,0.10915,0,0,-7.26986,0,0,0,0,0,0,0
-10,0,500,0,0,0,-10,-0.67896,0.01723,0,0,2.93177,0,0,0,0,0,0,0
-9,0,500,0,0,0,-9,-0.5675,0.01564,0,0,2.48988,0,0,0,0,0,0,0
-8,0,500,0,0,0,-8,-0.45574,0.01457,0,0,2.04397,0,0,0,0,0,0,0
-7,0,500,0,0,0,-7,-0.34375,0.01403,0,0,1.59459,0,0,0,0,0,0,0
-6,0,500,0,0,0,-6,-0.23159,0.01402,0,0,1.14229,0,0,0,0,0,0,0
-5,0,500,0,0,0,-5,-0.11931,0.01454,0,0,0.68763,0,0,0,0,0,0,0
-4,0,500,0,0,0,-4,-0.00698,0.0156,0,0,0.23114,0,0,0,0,0,0,0
-3,0,500,0,0,0,-3,0.10534,0.0172,0,0,-0.2266,0,0,0,0,0,0,0
-2,0,500,0,0,0,-2,0.21758,0.01933,0,0,-0.68504,0,0,0,0,0,0,0
-1,0,500,0,0,0,-1,0.32968,0.02199,0,0,-1.14363,0,0,0,0,0,0,0
0,0,500,0,0,0,0,0.44159,0.02517,0,0,-1.6018,0,0,0,0,0,0,0
1,0,500,0,0,0,1,0.55323,0.02888,0,0,-2.059,0,0,0,0,0,0,0
2,0,500,0,0,0,2,0.66456,0.03309,0,0,-2.51466,0,0,0,0,0,0,0
3,0,500,0,0,0,3,0.7755,0.0378,0,0,-2.96824,0,0,0,0,0,0,0
4,0,500,0,0,0,4,0.886,0.043,0,0,-3.41919,0,0,0,0,0,0,0
5,0,500,0,0,0,5,0.99599,0.04868,0,0,-3.86694,0,0,0,0,0,0,0
6,0,500,0,0,0,6,1.10543,0.05481,0,0,-4.31096,0,0,0,0,0,0,0
7,0,500,0,0,0,7,1.21425,0.06139,0,0,-4.75071,0,0,0,0,0,0,0
8,0,500,0,0,0,8,1.3224,0.0684,0,0,-5.18564,0,0,0,0,0,0,0
9,0,500,0,0,0,9,1.42981,0.07581,0,0,-5.61524,0,0,0,0,0,0,0
10,0,500,0,0,0,10,1.53644,0.08362,0,0,-6.03897,0,0,0,0,0,0,0
11,0,500,0,0,0,11,1.64223,0.09179,0,0,-6.45632,0,0,0,0,0,0,0
12,0,500,0,0,0,12,1.74713,0.10031,0,0,-6.86679,0,0,0,0,0,0,0
13,0,500,0,0,0,13,1.85109,0.10915,0,0,-7.26986,0,0,0,0,0,0,0
-10,0,1000,0,0,0,-10,-0.67896,0.01723,0,0,2.93177,0,0,0,0,0,0,0
-9,0,1000,0,0,0,-9,-0.5675,0.01564,0,0,2.48988,0,0,0,0,0,0,0
-8,0,1000,0,0,0,-8,-0.45574,0.01457,0,0,2.04397,0,0,0,0,0,0,0
-7,0,1000,0,0,0,-7,-0.34375,0.01403,0,0,1.59459,0,0,0,0,0,0,0
-6,0,1000,0,0,0,-6,-0.23159,0.01402,0,0,1.14229,0,0,0,0,0,0,0
-5,0,1000,0,0,0,-5,-0.11931,0.01454,0,0,0.68763,0,0,0,0,0,0,0
-4,0,1000,0,0,0,-4,-0.00698,0.0156,0,0,0.23114,0,0,0,0,0,0,0
-3,0,1000,0,0,0,-3,0.10534,0.0172,0,0,-0.2266,0,0,0,0,0,0,0
-2,0,1000,0,0,0,-2,0.21758,0.01933,0,0,-0.68504,0,0,0,0,0,0,0
-1,0,1000,0,0,0,-1,0.32968,0.02199,0,0,-1.14363,0,0,0,0,0,0,0
0,0,1000,0,0,0,0,0.44159,0.02517,0,0,-1.6018,0,0,0,0,0,0,0
1,0,1000,0,0,0,1,0.55323,0.02888,0,0,-2.059,0,0,0,0,0,0,0
2,0,1000,0,0,0,2,0.66456,0.03309,0,0,-2.51466,0,0,0,0,0,0,0
3,0,1000,0,0,0,3,0.7755,0.0378,0,0,-2.96824,0,0,0,0,0,0,0
4,0,1000,0,0,0,4,0.886,0.043,0,0,-3.41919,0,0,0,0,0,0,0
5,0,1000,0,0,0,5,0.99599,0.04868,0,0,-3.86694,0,0,0,0,0,0,0
6,0,1000,0,0,0,6,1.10543,0.05481,0,0,-4.31096,0,0,0,0,0,0,0
7,0,1000,0,0,0,7,1.21425,0.06139,0,0,-4.75071,0,0,0,0,0,0,0
8,0,1000,0,0,0,8,1.3224,0.0684,0,0,-5.18564,0,0,0,0,0,0,0
9,0,1000,0,0,0,9,1.42981,0.07581,0,0,-5.61524,0,0,0,0,0,0,0
10,0,1000,0,0,0,10,1.53644,0.08362,0,0,-6.03897,0,0,0,0,0,0,0
11,0,1000,0,0,0,11,1.64223,0.09179,0,0,-6.45632,0,0,0,0,0,0,0
12,0,1000,0,0,0,12,1.74713,0.10031,0,0,-6.86679,0,0,0,0,0,0,0
13,0,1000,0,0,0,13,1.85109,0.10915,0,0,-7.26986,0,0,0,0,0,0,0
